id,valence_cue,valence_tar,BA_answer,BA_resp,excluded
1,neu,emo,B,B,FALSE
1,neu,emo,A,A,FALSE
1,emo,neu,A,A,FALSE
1,neu,emo,B,B,FALSE
1,emo,neu,B,B,FALSE
1,neu,emo,B,B,FALSE
1,neu,emo,A,A,FALSE
1,neu,emo,B,B,FALSE
1,neu,neu,A,A,FALSE
1,emo,neu,A,A,FALSE
1,neu,neu,nei,A,FALSE
1,neu,emo,A,A,FALSE
1,emo,neu,A,B,FALSE
1,emo,neu,B,B,FALSE
1,emo,neu,B,B,FALSE
1,emo,emo,nei,,FALSE
1,emo,neu,A,B,FALSE
1,emo,emo,A,B,FALSE
1,neu,emo,A,A,FALSE
1,neu,emo,B,A,FALSE
1,emo,neu,B,B,FALSE
1,neu,neu,B,B,FALSE
1,emo,emo,B,A,FALSE
1,emo,neu,A,B,FALSE
1,emo,emo,B,B,FALSE
1,emo,neu,B,B,FALSE
1,neu,neu,B,B,FALSE
1,emo,neu,B,A,FALSE
1,emo,neu,A,A,FALSE
1,neu,emo,A,A,FALSE
1,neu,emo,B,B,FALSE
1,neu,emo,A,,FALSE
1,emo,neu,B,B,FALSE
1,neu,emo,B,B,FALSE
1,neu,emo,B,B,FALSE
1,neu,emo,B,B,FALSE
1,neu,emo,A,,FALSE
1,emo,neu,B,B,FALSE
1,neu,neu,nei,A,FALSE
1,emo,emo,nei,A,FALSE
1,emo,neu,A,A,FALSE
1,emo,emo,A,B,FALSE
1,emo,neu,A,A,FALSE
1,neu,emo,A,A,FALSE
1,neu,emo,A,B,FALSE
1,emo,neu,A,A,FALSE
1,emo,neu,B,,FALSE
1,neu,neu,A,A,FALSE
1,neu,neu,B,B,FALSE
1,neu,emo,A,A,FALSE
1,emo,neu,A,B,FALSE
1,emo,neu,B,B,FALSE
1,neu,emo,A,A,FALSE
1,neu,emo,B,B,FALSE
1,emo,emo,B,B,FALSE
1,emo,neu,B,B,FALSE
1,neu,emo,B,A,FALSE
1,neu,emo,A,A,FALSE
1,emo,emo,nei,A,FALSE
